Fecha,Hora,Competicion,Local,Goles_local,Visitante,Goles_visitante,Estadio,Ciudad,En_casa,Total_goles_partido
VIE 23.01.2026,20:30,LALIGA HYPERMOTION,Málaga CF,3,Burgos CF,0,"('La Rosaleda', 30044)",Málaga,True,3
DOM 18.01.2026,21:00,LALIGA HYPERMOTION,Córdoba CF,0,Málaga CF,1,"('Bahrain Victorious Nuevo Arcángel', 21822)",Córdoba,False,1
DOM 11.01.2026,16:15,LALIGA HYPERMOTION,Málaga CF,2,AD Ceuta FC,1,"('La Rosaleda', 30044)",Málaga,True,3
DOM 04.01.2026,14:00,LALIGA HYPERMOTION,Real Sporting,1,Málaga CF,3,"('El Molinón', 30000)",Gijón,False,4
DOM 21.12.2025,14:00,LALIGA HYPERMOTION,Málaga CF,2,UD Almería,1,"('La Rosaleda', 30044)",Málaga,True,3
DOM 14.12.2025,16:15,LALIGA HYPERMOTION,Albacete BP,1,Málaga CF,3,"('Carlos Belmonte', 18000)",Albacete,False,4
LUN 08.12.2025,20:30,LALIGA HYPERMOTION,Málaga CF,1,Real Zaragoza,1,"('La Rosaleda', 30044)",Málaga,True,2
SAB 29.11.2025,21:00,LALIGA HYPERMOTION,Real Valladolid,1,Málaga CF,1,"('José Zorrilla', 27618)",Valladolid,False,2
DOM 23.11.2025,21:00,LALIGA HYPERMOTION,Málaga CF,3,CD Mirandés,2,"('La Rosaleda', 30044)",Málaga,True,5
LUN 17.11.2025,20:30,LALIGA HYPERMOTION,Cultural Leonesa,1,Málaga CF,0,"('Reino de León', 13346)",León,False,1
SAB 08.11.2025,21:00,LALIGA HYPERMOTION,Málaga CF,2,Córdoba CF,2,"('La Rosaleda', 30044)",Málaga,True,4
DOM 02.11.2025,18:30,LALIGA HYPERMOTION,CD Castellón,2,Málaga CF,1,"('Skyfi Castalia', 15500)",Castellón de la Plana,False,3
DOM 26.10.2025,14:00,LALIGA HYPERMOTION,Málaga CF,4,FC Andorra,1,"('La Rosaleda', 30044)",Málaga,True,5
DOM 19.10.2025,14:00,LALIGA HYPERMOTION,CD Leganés,2,Málaga CF,0,"('Ontime Butarque', 13089)",Leganés,False,2
DOM 12.10.2025,21:00,LALIGA HYPERMOTION,Málaga CF,3,RC Deportivo,0,"('La Rosaleda', 30044)",Málaga,True,3
DOM 05.10.2025,18:30,LALIGA HYPERMOTION,Racing de Santander,3,Málaga CF,0,"('El Sardinero', 21514)",Santander,False,3
DOM 28.09.2025,16:15,LALIGA HYPERMOTION,Burgos CF,2,Málaga CF,1,"('El Plantío', 12194)",Burgos,False,3
DOM 21.09.2025,18:30,LALIGA HYPERMOTION,Málaga CF,0,Cádiz CF,1,"('La Rosaleda', 30044)",Málaga,True,1
SAB 13.09.2025,18:30,LALIGA HYPERMOTION,SD Huesca,1,Málaga CF,0,"('El Alcoraz', 9128)",Huesca,False,1
SAB 06.09.2025,21:00,LALIGA HYPERMOTION,Málaga CF,2,Granada CF,2,"('La Rosaleda', 30044)",Málaga,True,4
DOM 31.08.2025,19:30,LALIGA HYPERMOTION,UD Las Palmas,0,Málaga CF,1,"('Estadio de Gran Canaria', 32400)",Las Palmas de Gran Canaria,False,1
DOM 24.08.2025,21:30,LALIGA HYPERMOTION,Málaga CF,1,Real Sociedad B,0,"('La Rosaleda', 30044)",Málaga,True,1
SAB 16.08.2025,19:30,LALIGA HYPERMOTION,Málaga CF,1,SD Eibar,1,"('La Rosaleda', 30044)",Málaga,True,2
DOM 25.01.2026,21:00,LALIGA HYPERMOTION,RC Deportivo,0,Racing de Santander,1,"('Abanca-Riazor', 32490)",La Coruña,False,1
DOM 18.01.2026,16:15,LALIGA HYPERMOTION,Racing de Santander,4,UD Las Palmas,1,"('El Sardinero', 21514)",Santander,True,5
SAB 10.01.2026,21:00,LALIGA HYPERMOTION,Racing de Santander,2,Real Zaragoza,3,"('El Sardinero', 21514)",Santander,True,5
SAB 03.01.2026,18:30,LALIGA HYPERMOTION,Real Valladolid,1,Racing de Santander,1,"('José Zorrilla', 27618)",Valladolid,False,2
SAB 20.12.2025,16:15,LALIGA HYPERMOTION,SD Huesca,1,Racing de Santander,1,"('El Alcoraz', 9128)",Huesca,False,2
SAB 13.12.2025,18:30,LALIGA HYPERMOTION,Racing de Santander,1,CD Leganés,1,"('El Sardinero', 21514)",Santander,True,2
DOM 07.12.2025,14:00,LALIGA HYPERMOTION,Cádiz CF,2,Racing de Santander,3,"('Nuevo Mirandilla', 20724)",Cádiz,False,5
DOM 30.11.2025,16:15,LALIGA HYPERMOTION,Racing de Santander,4,SD Eibar,0,"('El Sardinero', 21514)",Santander,True,4
DOM 23.11.2025,18:30,LALIGA HYPERMOTION,Burgos CF,0,Racing de Santander,2,"('El Plantío', 12194)",Burgos,False,2
SAB 15.11.2025,21:00,LALIGA HYPERMOTION,Racing de Santander,2,Granada CF,2,"('El Sardinero', 21514)",Santander,True,4
DOM 09.11.2025,14:00,LALIGA HYPERMOTION,UD Las Palmas,3,Racing de Santander,1,"('Estadio de Gran Canaria', 32400)",Las Palmas de Gran Canaria,False,4
VIE 31.10.2025,20:30,LALIGA HYPERMOTION,Racing de Santander,1,Real Sociedad B,0,"('El Sardinero', 21514)",Santander,True,1
SAB 25.10.2025,21:00,LALIGA HYPERMOTION,CD Mirandés,1,Racing de Santander,3,"('Anduva', 5759)",Miranda de Ebro,False,4
DOM 19.10.2025,18:30,LALIGA HYPERMOTION,Racing de Santander,2,RC Deportivo,1,"('El Sardinero', 21514)",Santander,True,3
DOM 12.10.2025,16:15,LALIGA HYPERMOTION,Real Sporting,2,Racing de Santander,1,"('El Molinón', 30000)",Gijón,False,3
DOM 05.10.2025,18:30,LALIGA HYPERMOTION,Racing de Santander,3,Málaga CF,0,"('El Sardinero', 21514)",Santander,True,3
SAB 27.09.2025,18:30,LALIGA HYPERMOTION,Racing de Santander,1,FC Andorra,2,"('El Sardinero', 21514)",Santander,True,3
DOM 21.09.2025,21:00,LALIGA HYPERMOTION,Córdoba CF,2,Racing de Santander,2,"('Bahrain Victorious Nuevo Arcángel', 21822)",Córdoba,False,4
DOM 14.09.2025,16:15,LALIGA HYPERMOTION,Racing de Santander,2,Cultural Leonesa,4,"('El Sardinero', 21514)",Santander,True,6
DOM 07.09.2025,18:30,LALIGA HYPERMOTION,UD Almería,2,Racing de Santander,3,"('UD Almería Stadium', 18331)",Almería,False,5
SAB 30.08.2025,17:00,LALIGA HYPERMOTION,Racing de Santander,4,AD Ceuta FC,1,"('El Sardinero', 21514)",Santander,True,5
LUN 25.08.2025,19:30,LALIGA HYPERMOTION,Albacete BP,2,Racing de Santander,3,"('Carlos Belmonte', 18000)",Albacete,False,5
SAB 16.08.2025,17:00,LALIGA HYPERMOTION,Racing de Santander,3,CD Castellón,1,"('El Sardinero', 21514)",Santander,True,4
SAB 24.01.2026,16:15,LALIGA HYPERMOTION,CD Leganés,2,Real Sociedad B,0,"('Ontime Butarque', 13089)",Leganés,False,2
SAB 17.01.2026,18:30,LALIGA HYPERMOTION,Real Zaragoza,1,Real Sociedad B,1,"('Ibercaja Estadio', 20103)",Zaragoza,False,2
SAB 10.01.2026,16:15,LALIGA HYPERMOTION,Real Sociedad B,0,Albacete BP,0,"('Estadio Zubieta', 2500)",San Sebastián,True,0
SAB 03.01.2026,14:00,LALIGA HYPERMOTION,Cultural Leonesa,1,Real Sociedad B,1,"('Reino de León', 13346)",León,False,2
DOM 21.12.2025,16:15,LALIGA HYPERMOTION,Real Sociedad B,1,AD Ceuta FC,3,"('Estadio Zubieta', 2500)",San Sebastián,True,4
SAB 13.12.2025,21:00,LALIGA HYPERMOTION,RC Deportivo,0,Real Sociedad B,3,"('Abanca-Riazor', 32490)",La Coruña,False,3
SAB 06.12.2025,18:30,LALIGA HYPERMOTION,Real Sociedad B,0,Real Sporting,1,"('Estadio Zubieta', 2500)",San Sebastián,True,1
DOM 30.11.2025,18:30,LALIGA HYPERMOTION,CD Mirandés,1,Real Sociedad B,0,"('Anduva', 5759)",Miranda de Ebro,False,1
LUN 24.11.2025,20:30,LALIGA HYPERMOTION,Real Sociedad B,1,Real Valladolid,0,"('Estadio Zubieta', 2500)",San Sebastián,True,1
SAB 15.11.2025,16:00,LALIGA HYPERMOTION,CD Castellón,5,Real Sociedad B,4,"('Skyfi Castalia', 15500)",Castellón de la Plana,False,9
